"lon","lat","NDVI","DTM","DSM","NDSM","NDRE","LULCC","D2W","area","lon_pt","lat_pt"
334920.868263676,7278074.78579758,-0.344739973545074,475.839996337891,475.839996337891,0,-0.216214299201965,2,921.718505859375,40000,334920.868263676,7278074.78579758
335120.868263676,7278074.78579758,-0.262233465909958,477.203948974609,477.206848144531,0.002899169921875,-0.143610998988152,1,1019.27673339844,40000,335120.868263676,7278074.78579758
335320.868263676,7278074.78579758,-0.319069057703018,472.295349121094,472.295349121094,0,-0.210403561592102,7,1143.20825195312,40000.0000000037,335320.868263676,7278074.78579758
335520.868263676,7278074.78579758,-0.314985275268555,471.501037597656,471.501037597656,0,-0.201427683234215,7,1285.71105957031,40000.0000000037,335520.868263676,7278074.78579758
335720.868263676,7278074.78579758,-0.296058654785156,474.599090576172,474.599090576172,0,-0.191925123333931,7,1369.07446289062,40000,335720.868263676,7278074.78579758
335920.868263676,7278074.78579758,-0.321031630039215,473.155426025391,473.155426025391,0,-0.212184935808182,7,1328.44458007812,40000,335920.868263676,7278074.78579758
336120.868263676,7278074.78579758,-0.337730556726456,468.770324707031,468.770324707031,0,-0.228789389133453,7,1317.25659179688,40000,336120.868263676,7278074.78579758
336320.868263676,7278074.78579758,-0.308428287506104,466.904541015625,466.904541015625,0,-0.199849113821983,7,1336.25036621094,40000,336320.868263676,7278074.78579758
336520.868263676,7278074.78579758,-0.325214058160782,463.376678466797,463.376678466797,0,-0.21148869395256,7,1384.18383789062,40000,336520.868263676,7278074.78579758
336720.868263676,7278074.78579758,-0.280364543199539,459.014678955078,459.014678955078,0,-0.192301511764526,2,1328.71557617188,40000,336720.868263676,7278074.78579758
336920.868263676,7278074.78579758,-0.14387059211731,455.545654296875,455.551177978516,0.005523681640625,-0.0824625939130783,2,1257.3642578125,40000,336920.868263676,7278074.78579758
337120.868263676,7278074.78579758,-0.281773239374161,452.38818359375,452.38818359375,0,-0.187422648072243,2,1067.78503417969,40000,337120.868263676,7278074.78579758
337320.868263676,7278074.78579758,-0.314512073993683,449.756408691406,449.756408691406,0,-0.214048877358437,2,882.816528320312,40000,337320.868263676,7278074.78579758
337520.868263676,7278074.78579758,-0.262407511472702,449.006408691406,449.097259521484,0.090850830078125,-0.193836584687233,2,706.091369628906,40000,337520.868263676,7278074.78579758
337720.868263676,7278074.78579758,-0.302356421947479,443.153961181641,443.153961181641,0,-0.157639861106873,7,545.678466796875,40000,337720.868263676,7278074.78579758
337920.868263676,7278074.78579758,-0.378143846988678,438.067199707031,438.067199707031,0,-0.258362919092178,7,420.672088623047,40000,337920.868263676,7278074.78579758
338120.868263676,7278074.78579758,-0.356315344572067,440.217437744141,440.217437744141,0,-0.23264616727829,7,369.005432128906,40000,338120.868263676,7278074.78579758
338320.643909368,7278075.06778578,-0.21712389588356,442.631408691406,442.631408691406,0,-0.121862351894379,2,417.885162353516,39886.179109649,338320.643909368,7278075.06778578
338519.902121185,7278079.30046181,-0.342234402894974,437.221984863281,437.221984863281,0,-0.231448903679848,8,538.613952636719,38183.4418231621,338519.902121185,7278079.30046181
